2024-07-17 23:32:29.864 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Started BookStoreFrontApplication in 2.965 seconds (process running for 26.245)
2024-07-17 23:32:29.876 [scheduling-1] INFO  c.n.b.global.config.CacheConfig - Refresh categoriesCache completed.
2024-07-17 23:32:29.883 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2024-07-17 23:34:40.722 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-07-17 23:34:42.324 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Starting BookStoreFrontApplication using Java 21.0.3 with PID 40270 (/Users/dlrudgjs/Desktop/GitHub/book-store-front/target/classes started by dlrudgjs in /Users/dlrudgjs/Desktop/GitHub/book-store-front)
2024-07-17 23:34:42.325 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - The following 1 profile is active: "dev"
2024-07-17 23:34:42.698 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-07-17 23:34:42.699 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-07-17 23:34:42.713 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2024-07-17 23:34:42.796 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1039886f-b335-3755-825b-2a0b8fcf8631
2024-07-17 23:34:43.318 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-07-17 23:34:43.332 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-17 23:34:43.332 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-07-17 23:34:43.354 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-17 23:34:43.354 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1011 ms
2024-07-17 23:34:43.596 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-07-17 23:34:44.550 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2024-07-17 23:34:44.675 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1255a591, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@72ab40d3, org.springframework.security.web.context.SecurityContextHolderFilter@699fd7b2, org.springframework.security.web.header.HeaderWriterFilter@5e4dfd4a, org.springframework.web.filter.CorsFilter@6ac1e557, org.springframework.security.web.authentication.logout.LogoutFilter@46631ba, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6ef9c993, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2245488a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@65130a40, org.springframework.security.web.access.ExceptionTranslationFilter@45112c3a, org.springframework.security.web.access.intercept.AuthorizationFilter@3ea62f60]
2024-07-17 23:34:44.940 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2024-07-17 23:34:44.949 [scheduling-1] INFO  c.n.b.global.config.CacheConfig - Refresh categoriesCache completed.
